"","Year","Month","n","total_precip","mean_temp","mean_max_temp","mean_min_temp"
"1","2018",1,31,76.8,-4.92903225806452,-0.354838709677419,-9.5
"2","2018",2,28,77.5,-1.11785714285714,3.33928571428571,-5.57142857142857
"3","2018",3,31,36.5,0.441935483870968,4.33870967741935,-3.45161290322581
"4","2018",4,30,174.1,3.95333333333333,8.38333333333333,-0.5
"5","2018",5,31,65.4,17.3225806451613,23.0967741935484,11.5161290322581
"6","2018",6,28,90.2,19.6,24.3214285714286,14.8392857142857
"7","2018",7,31,66.9,23.8322580645161,29.1451612903226,18.5
"8","2018",8,31,121.2,23.9161290322581,28.6129032258065,19.1774193548387
"9","2018",9,30,73.4,19.74,24.3333333333333,15.1
"10","2018",10,31,68.1,10.0548387096774,14.2096774193548,5.85483870967742
"11","2018",11,30,109,2.27666666666667,4.93333333333333,-0.4
"12","2018",12,31,75.6,0.496774193548387,3.67741935483871,-2.69354838709677
"13","2019",1,31,65.2,-5.73548387096774,-1.7258064516129,-9.7258064516129
"14","2019",2,28,93.2,-3.67857142857143,0.821428571428571,-8.14285714285714
"15","2019",3,31,54.4,-0.587096774193548,4.24193548387097,-5.40322580645161
"16","2019",4,30,95.2,6.44,10.9166666666667,1.93333333333333
"17","2019",5,31,121.6,11.7870967741935,16.9677419354839,6.56451612903226
"18","2019",6,30,97,18.32,23.6166666666667,12.9833333333333
"19","2019",7,31,72.6,23.7,29.4516129032258,17.9032258064516
"20","2019",8,31,53.8,21.5483870967742,27.0322580645161,16.0161290322581
"21","2019",9,30,36.2,18.17,23.4,12.9
"22","2019",10,31,144.8,11.0354838709677,15.4354838709677,6.59677419354839
"23","2019",11,30,40.7,1.20333333333333,4.95,-2.56666666666667
"24","2019",12,31,95,-0.474193548387097,3.51612903225806,-4.45161290322581
