Q1 Model  1- 2018 only,,,
,Chisq,Df,Pr(>Chisq)
City_dist,0.819053938,1,0.365456917
,x,,
R2m,0.011205946,,
R2c,0.649622779,,
AIC:  1391.78,,,
,,,
Q1 Model  2- 2019 only,,,
,Chisq,Df,Pr(>Chisq)
City_dist,5.423411097,1,0.019868507
,x,,
R2m,0.074581652,,
R2c,0.596460445,,
AIC:  1187.728,,,
,,,
Q2 Model  1,,,
,Chisq,Df,Pr(>Chisq)
City_dist,3.231851752,1,0.072218985
as.factor(Year),0.000571648,1,0.980925059
Transect_ID,1.102718194,1,0.293670347
City_dist:as.factor(Year),0.092460609,1,0.761072001
City_dist:Transect_ID,0.514056397,1,0.473388126
as.factor(Year):Transect_ID,1.523941742,1,0.217023963
City_dist:as.factor(Year):Transect_ID,0.698983221,1,0.403125558
,x,,
R2m,0.082195567,,
R2c,0.601735337,,
AIC:  1871.508,,,
,,,
Q2 Model  2,,,
,Chisq,Df,Pr(>Chisq)
City_dist,3.205060567,1,0.073410791
Transect_ID,1.094126302,1,0.295558759
as.factor(Year),0.000584749,1,0.98070776
City_dist:as.factor(Year),0.092602307,1,0.760894567
as.factor(Year):Transect_ID,1.523162032,1,0.21714161
City_dist:Transect_ID,0.509359087,1,0.475416434
,x,,
R2m,0.07985962,,
R2c,0.602812682,,
AIC:  1870.204,,,
,,,
Q2 Model  3,,,
,Chisq,Df,Pr(>Chisq)
City_dist,3.195653984,1,0.073834233
as.factor(Year),0.000613372,1,0.980241335
Transect_ID,1.072814641,1,0.300310549
as.factor(Year):Transect_ID,1.453760612,1,0.227925488
City_dist:Transect_ID,0.528946403,1,0.467050151
,x,,
R2m,0.079757839,,
R2c,0.603531964,,
AIC:  1868.296,,,
,,,
Q2 Model  4,,,
,Chisq,Df,Pr(>Chisq)
City_dist,3.398068667,1,0.065272802
as.factor(Year),0.00060688,1,0.980346159
Transect_ID,1.074488816,1,0.299933725
City_dist:as.factor(Year),0.02320147,1,0.878934326
City_dist:Transect_ID,0.550357623,1,0.458171606
,x,,
R2m,0.078690699,,
R2c,0.606814002,,
AIC:  1869.719,,,
,,,
Q2 Model  5,,,
,Chisq,Df,Pr(>Chisq)
City_dist,3.162506888,1,0.075347397
as.factor(Year),0.003889826,1,0.950269401
Transect_ID,1.074822412,1,0.299858712
City_dist:as.factor(Year),0.111685307,1,0.738233535
as.factor(Year):Transect_ID,1.5645909,1,0.210994288
,x,,
R2m,0.072716658,,
R2c,0.604127942,,
AIC:  1868.709,,,
,,,
Q2 Model  6,,,
,Chisq,Df,Pr(>Chisq)
City_dist,3.34719181,1,0.067319767
as.factor(Year),0.003929594,1,0.950016171
Transect_ID,1.054824031,1,0.304398679
City_dist:as.factor(Year),0.031358031,1,0.859443988
,x,,
R2m,0.071304408,,
R2c,0.608452747,,
AIC:  1868.265,,,
,,,
Q2 Model  7,,,
,Chisq,Df,Pr(>Chisq)
City_dist,3.394034897,1,0.065432644
as.factor(Year),0.000604393,1,0.980386452
Transect_ID,1.056770087,1,0.303953011
City_dist:Transect_ID,0.560029306,1,0.454248435
,x,,
R2m,0.078687949,,
R2c,0.607134969,,
AIC:  1867.742,,,
,,,
Q2 Model  8,,,
,Chisq,Df,Pr(>Chisq)
City_dist,3.149904793,1,0.075931393
as.factor(Year),0.003960873,1,0.949817889
Transect_ID,1.053220728,1,0.304766489
as.factor(Year):Transect_ID,1.484252446,1,0.223110371
,x,,
R2m,0.07246396,,
R2c,0.605040086,,
AIC:  1866.82,,,
,,,
Q2 Model  9,,,
,Chisq,Df,Pr(>Chisq)
City_dist,3.341145874,1,0.067567539
as.factor(Year),0.003941469,1,0.949940803
Transect_ID,1.036489624,1,0.3086393
,x,,
R2m,0.071218738,,
R2c,0.608868593,,
AIC:  1866.296,,,
