"","Family","Morphospecies","Sites","Individuals_observed"
"1","Megachilidae","(medium) leafcutter (Megachilidae spp.)",6,12
"2","Halictidae","(small) black sweat bee (Halictidae spp.)",20,59
"3","Halictidae","(small) black sweat bee (no yellow) (Halictidae spp.)",2,6
"4","Halictidae","(small) sweat bee (Halictidae spp.)",3,10
"5","Halictidae","(small) torontounoficialallgreen (Halictidae spp.)",3,8
"6","Apidae","Apis mellifera (Large)",24,64
"7","Apidae","fuzzy yellow bee (medium) (Anthophorinae spp.)",1,1
"8","Apidae","large bomus sp hairless abdomin (Xylocopinae sp.)",1,1
"9","Megachilidae","leaf cutter (no beard) (Megachilidae sp.)",1,2
"10","Megachilidae","leaf cutter w beard (Megachilidae sp.)",5,6
"11","Megachilidae","leafcutter bee large abdomin (Megachilidae sp.)",1,1
"12","Megachilidae","leafcutter bee pointy abdomin (Megachilidae sp.)",1,1
"13","Megachilidae","leafcutter bee yellow beard (Megachilidae sp.)",2,4
"14","Megachilidae","leafcutter black with yellow intersegments (Megachilidae spp.)",1,1
"15","Megachilidae","leafcutter w beard, large abdomin and grey (Megachilidae sp.)",2,3
"16","Megachilidae","leafcutter with beard wide (Megachilidae sp.)",1,1
"17","Megachilidae","leafcutter? (Megachilidae sp.)",1,1
"18","Apidae","medium bombus hairy abdomin with rust patch (Bombus sp.)",1,1
"19","Apidae","medium bumble bee hairless abdomin (Xylocopinae sp.)",1,1
"20","Apidae","medium bumble bee hairy abdomin (Bombus sp.)",1,2
"21","Apidae","medium bumble bee hairy black abdomin (Bombus sp.)",1,3
"22","Halictidae","mid black sweat bee yellow adominal intersegments (Halictidae spp.)",1,1
"23","Cantharidae","orange beetle (Rhagoycha fulva)",11,54
"24","Halictidae","small black sweat bee (bigger than yellow face) (Halictidae spp.)",1,3
"25","Halictidae","small black sweat bee? (Halictidae spp.)",1,1
