"","Morphospecies_Code","Individuals_observed","Morphospecies"
"1","MS_01",4,"long horned beetle (Typocerus velutinus)"
"2","MS_01",4,"long horned beetle (Typocerus velutinus)"
"3","MS_01",4,"long horned beetle (Typocerus velutinus)"
"4","MS_02",54,"orange beetle (Rhagoycha fulva)"
"5","MS_02",54,"orange beetle (Rhagoycha fulva)"
"6","MS_02",54,"orange beetle (Rhagoycha fulva)"
"7","MS_02",54,"orange beetle (Rhagoycha fulva)"
"8","MS_02",54,"orange beetle (Rhagoycha fulva)"
"9","MS_02",54,"orange beetle (Rhagoycha fulva)"
"10","MS_02",54,"orange beetle (Rhagoycha fulva)"
"11","MS_02",54,"orange beetle (Rhagoycha fulva)"
"12","MS_02",54,"orange beetle (Rhagoycha fulva)"
"13","MS_02",54,"orange beetle (Rhagoycha fulva)"
"14","MS_02",54,"orange beetle (Rhagoycha fulva)"
"15","MS_03",1,"medium bombus hairy abdomin with rust patch (Bombus sp.)"
"16","MS_04",2,"medium bumble bee hairy abdomin (Bombus sp.)"
"17","MS_05",3,"medium bumble bee hairy black abdomin (Bombus sp.)"
"18","MS_06",64,"Apis mellifera (Large)"
"19","MS_06",64,"Apis mellifera (Large)"
"20","MS_06",64,"Apis mellifera (Large)"
"21","MS_06",64,"Apis mellifera (Large)"
"22","MS_06",64,"Apis mellifera (Large)"
"23","MS_06",64,"Apis mellifera (Large)"
"24","MS_06",64,"Apis mellifera (Large)"
"25","MS_06",64,"Apis mellifera (Large)"
"26","MS_06",64,"Apis mellifera (Large)"
"27","MS_06",64,"Apis mellifera (Large)"
"28","MS_06",64,"Apis mellifera (Large)"
"29","MS_06",64,"Apis mellifera (Large)"
"30","MS_06",64,"Apis mellifera (Large)"
"31","MS_06",64,"Apis mellifera (Large)"
"32","MS_06",64,"Apis mellifera (Large)"
"33","MS_06",64,"Apis mellifera (Large)"
"34","MS_06",64,"Apis mellifera (Large)"
"35","MS_06",64,"Apis mellifera (Large)"
"36","MS_06",64,"Apis mellifera (Large)"
"37","MS_06",64,"Apis mellifera (Large)"
"38","MS_06",64,"Apis mellifera (Large)"
"39","MS_06",64,"Apis mellifera (Large)"
"40","MS_06",64,"Apis mellifera (Large)"
"41","MS_06",64,"Apis mellifera (Large)"
"42","MS_07",1,"fuzzy yellow bee (medium) (Anthophorinae spp.)"
"43","MS_08",1,"large bomus sp hairless abdomin (Xylocopinae sp.)"
"44","MS_09",1,"medium bumble bee hairless abdomin (Xylocopinae sp.)"
"45","MS_10",16,"small black sweat bee (yellow face) (Hylaeus spp.)"
"46","MS_10",16,"small black sweat bee (yellow face) (Hylaeus spp.)"
"47","MS_10",16,"small black sweat bee (yellow face) (Hylaeus spp.)"
"48","MS_10",16,"small black sweat bee (yellow face) (Hylaeus spp.)"
"49","MS_10",16,"small black sweat bee (yellow face) (Hylaeus spp.)"
"50","MS_11",1,"(small) mining bee/leafcutter? (Colletes spp.)"
"51","MS_12",4,"mining bee? (Colletes spp.)"
"52","MS_12",4,"mining bee? (Colletes spp.)"
"53","MS_12",4,"mining bee? (Colletes spp.)"
"54","MS_13",1,"small brown sweat bee (Colletes spp.)"
"55","MS_14",59,"(small) black sweat bee (Halictidae spp.)"
"56","MS_14",59,"(small) black sweat bee (Halictidae spp.)"
"57","MS_14",59,"(small) black sweat bee (Halictidae spp.)"
"58","MS_14",59,"(small) black sweat bee (Halictidae spp.)"
"59","MS_14",59,"(small) black sweat bee (Halictidae spp.)"
"60","MS_14",59,"(small) black sweat bee (Halictidae spp.)"
"61","MS_14",59,"(small) black sweat bee (Halictidae spp.)"
"62","MS_14",59,"(small) black sweat bee (Halictidae spp.)"
"63","MS_14",59,"(small) black sweat bee (Halictidae spp.)"
"64","MS_14",59,"(small) black sweat bee (Halictidae spp.)"
"65","MS_14",59,"(small) black sweat bee (Halictidae spp.)"
"66","MS_14",59,"(small) black sweat bee (Halictidae spp.)"
"67","MS_14",59,"(small) black sweat bee (Halictidae spp.)"
"68","MS_14",59,"(small) black sweat bee (Halictidae spp.)"
"69","MS_14",59,"(small) black sweat bee (Halictidae spp.)"
"70","MS_14",59,"(small) black sweat bee (Halictidae spp.)"
"71","MS_14",59,"(small) black sweat bee (Halictidae spp.)"
"72","MS_14",59,"(small) black sweat bee (Halictidae spp.)"
"73","MS_14",59,"(small) black sweat bee (Halictidae spp.)"
"74","MS_14",59,"(small) black sweat bee (Halictidae spp.)"
"75","MS_15",6,"(small) black sweat bee (no yellow) (Halictidae spp.)"
"76","MS_15",6,"(small) black sweat bee (no yellow) (Halictidae spp.)"
"77","MS_16",10,"(small) sweat bee (Halictidae spp.)"
"78","MS_16",10,"(small) sweat bee (Halictidae spp.)"
"79","MS_16",10,"(small) sweat bee (Halictidae spp.)"
"80","MS_17",8,"(small) torontounoficialallgreen (Halictidae spp.)"
"81","MS_17",8,"(small) torontounoficialallgreen (Halictidae spp.)"
"82","MS_17",8,"(small) torontounoficialallgreen (Halictidae spp.)"
"83","MS_18",1,"mid black sweat bee yellow adominal intersegments (Halictidae spp.)"
"84","MS_19",3,"small black sweat bee (bigger than yellow face) (Halictidae spp.)"
"85","MS_20",1,"small black sweat bee? (Halictidae spp.)"
"86","MS_21",12,"(medium) leafcutter (Megachilidae spp.)"
"87","MS_21",12,"(medium) leafcutter (Megachilidae spp.)"
"88","MS_21",12,"(medium) leafcutter (Megachilidae spp.)"
"89","MS_21",12,"(medium) leafcutter (Megachilidae spp.)"
"90","MS_21",12,"(medium) leafcutter (Megachilidae spp.)"
"91","MS_21",12,"(medium) leafcutter (Megachilidae spp.)"
"92","MS_22",2,"leaf cutter (no beard) (Megachilidae sp.)"
"93","MS_23",6,"leaf cutter w beard (Megachilidae sp.)"
"94","MS_23",6,"leaf cutter w beard (Megachilidae sp.)"
"95","MS_23",6,"leaf cutter w beard (Megachilidae sp.)"
"96","MS_23",6,"leaf cutter w beard (Megachilidae sp.)"
"97","MS_23",6,"leaf cutter w beard (Megachilidae sp.)"
"98","MS_24",1,"leafcutter bee large abdomin (Megachilidae sp.)"
"99","MS_25",1,"leafcutter bee pointy abdomin (Megachilidae sp.)"
"100","MS_26",4,"leafcutter bee yellow beard (Megachilidae sp.)"
"101","MS_26",4,"leafcutter bee yellow beard (Megachilidae sp.)"
"102","MS_27",1,"leafcutter black with yellow intersegments (Megachilidae spp.)"
"103","MS_28",3,"leafcutter w beard, large abdomin and grey (Megachilidae sp.)"
"104","MS_28",3,"leafcutter w beard, large abdomin and grey (Megachilidae sp.)"
"105","MS_29",1,"leafcutter with beard wide (Megachilidae sp.)"
"106","MS_30",1,"leafcutter? (Megachilidae sp.)"
"107","MS_31",1,"leaf cutter? (very fuzzy) (Megachilidea spp. or Anthophorinae spp.)"
"108","MS_32",1,"medium bee (Apoidea spp.)"
"109","MS_33",2,"very fuzzy grey leafcutter bee (Megachilidae sp. or Athophorinae spp.)"
"110","MS_34",1,"mud dabber wasp (Eumeninae spp.) -  presently treated as a subfamily of Vespidae"
"111","MS_35",2,"paper wasp (yellow jacket?) (Vespidae spp.)"
"112","MS_35",2,"paper wasp (yellow jacket?) (Vespidae spp.)"
"113","MS_36",4,"small bee "
"114","MS_37",1,"tiny bee"
"115","MS_38",4,"Monarch butterfly (Danaus plexippus) (Large) (Lepidoptera spp.)"
"116","MS_38",4,"Monarch butterfly (Danaus plexippus) (Large) (Lepidoptera spp.)"
"117","MS_38",4,"Monarch butterfly (Danaus plexippus) (Large) (Lepidoptera spp.)"
"118","MS_38",4,"Monarch butterfly (Danaus plexippus) (Large) (Lepidoptera spp.)"
"119","MS_39",12,"european skipper (Thymelicus lineola)  (Hesperiidae spp.)"
"120","MS_39",12,"european skipper (Thymelicus lineola)  (Hesperiidae spp.)"
"121","MS_39",12,"european skipper (Thymelicus lineola)  (Hesperiidae spp.)"
"122","MS_39",12,"european skipper (Thymelicus lineola)  (Hesperiidae spp.)"
"123","MS_39",12,"european skipper (Thymelicus lineola)  (Hesperiidae spp.)"
"124","MS_40",3,"brown plume moth (Geina periscelidactylus)"
"125","MS_40",3,"brown plume moth (Geina periscelidactylus)"
"126","MS_40",3,"brown plume moth (Geina periscelidactylus)"
"127","MS_41",1,"lobed moth (Lepidoptera spp.)"
"128","MS_42",2,"small arrow shaped brown moth (Lepidoptera spp.)"
