Morphospecies Code,Individuals Observed (All Sites),Individuals Observed (Urban Sites),Morphospecies
MS_01,4,2,long horned beetle (Typocerus velutinus)
MS_02,54,13,orange beetle (Rhagoycha fulva)
MS_03,1,1,medium bombus hairy abdomin with rust patch (Bombus sp.)
MS_04,2,2,medium bumble bee hairy abdomin (Bombus sp.)
MS_05,3,3,medium bumble bee hairy black abdomin (Bombus sp.)
MS_06,64,15,Apis mellifera (Large)
MS_07,1,0,fuzzy yellow bee (medium) (Anthophorinae spp.)
MS_08,1,1,large bomus sp hairless abdomin (Xylocopinae sp.)
MS_09,1,1,medium bumble bee hairless abdomin (Xylocopinae sp.)
MS_10,16,5,small black sweat bee (yellow face) (Hylaeus spp.)
MS_11,1,1,(small) mining bee/leafcutter? (Colletes spp.)
MS_12,4,2,mining bee? (Colletes spp.)
MS_13,1,1,small brown sweat bee (Colletes spp.)
MS_14,59,47,(small) black sweat bee (Halictidae spp.)
MS_15,6,6,(small) black sweat bee (no yellow) (Halictidae spp.)
MS_16,10,1,(small) sweat bee (Halictidae spp.)
MS_17,8,6,(small) torontounoficialallgreen (Halictidae spp.)
MS_18,1,1,mid black sweat bee yellow adominal intersegments (Halictidae spp.)
MS_19,3,0,small black sweat bee (bigger than yellow face) (Halictidae spp.)
MS_20,1,1,small black sweat bee? (Halictidae spp.)
MS_21,12,11,(medium) leafcutter (Megachilidae spp.)
MS_22,2,2,leaf cutter (no beard) (Megachilidae sp.)
MS_23,6,5,leaf cutter w beard (Megachilidae sp.)
MS_24,1,1,leafcutter bee large abdomin (Megachilidae sp.)
MS_25,1,1,leafcutter bee pointy abdomin (Megachilidae sp.)
MS_26,4,4,leafcutter bee yellow beard (Megachilidae sp.)
MS_27,1,1,leafcutter black with yellow intersegments (Megachilidae spp.)
MS_28,3,3,"leafcutter w beard, large abdomin and grey (Megachilidae sp.)"
MS_29,1,1,leafcutter with beard wide (Megachilidae sp.)
MS_30,1,1,leafcutter? (Megachilidae sp.)
MS_31,1,1,leaf cutter? (very fuzzy) (Megachilidea spp. or Anthophorinae spp.)
MS_32,1,0,medium bee (Apoidea spp.)
MS_33,2,0,very fuzzy grey leafcutter bee (Megachilidae sp. or Athophorinae spp.)
MS_34,1,1,mud dabber wasp (Eumeninae spp.) -  presently treated as a subfamily of Vespidae
MS_35,2,2,paper wasp (yellow jacket?) (Vespidae spp.)
MS_36,4,0,small bee 
MS_37,1,1,tiny bee
MS_38,4,3,Monarch butterfly (Danaus plexippus) (Large) (Lepidoptera spp.)
MS_39,12,9,european skipper (Thymelicus lineola)  (Hesperiidae spp.)
MS_40,3,1,brown plume moth (Geina periscelidactylus)
MS_41,1,1,lobed moth (Lepidoptera spp.)
MS_42,2,0,small arrow shaped brown moth (Lepidoptera spp.)
