Input Errors,to UTM,to Zone,to Easting,to Northing,Population,Latitude,Longitude
,17T 607999mE 4822824mN,17T,607999,4822824,MW001,43.550556,-79.663
,17T 608721mE 4822799mN,17T,608721,4822799,MW002,43.550225,-79.654062
,17T 607326mE 4824429mN,17T,607326,4824429,MW003,43.565106,-79.671002
,17T 606080mE 4824657mN,17T,606080,4824657,MW004,43.567334,-79.686386
,17T 601265mE 4816362mN,17T,601265,4816362,MW005,43.493329,-79.747541
You are not signed into your Earth Point account.  Only the first five rows are converted.,,,,,MW006,43.438669,-79.780878
,,,,,MW007,43.434493,-79.904435
,,,,,MW008,43.457451,-79.866815
,,,,,MW009,43.516263,-79.77922
,,,,,MW010,43.525816,-79.791571
,,,,,MW011,43.589594,-79.638468
,,,,,MW012,43.534585,-79.645432
,,,,,MW013,43.615384,-79.570454
,,,,,MW014,43.648581,-79.521463
,,,,,MW015,43.661177,-79.500382
,,,,,MW016,43.711948,-79.535894
,,,,,MW017,43.501061,-79.844567
,,,,,MW018,43.484111,-79.837702
,,,,,MW019,43.41401,-79.953028
,,,,,MW020,43.387612,-79.959232
,,,,,MW021,43.399222,-79.930576
,,,,,MW022,43.377146,-79.973861
,,,,,MW023,43.371308,-79.981819
,,,,,MW024,43.363349,-80.01471
,,,,,MW025,43.726774,-79.432109
,,,,,MW026,43.719453,-79.445163
,,,,,MW027,43.726466,-79.445593
,,,,,MW028,43.713472,-79.463271
,,,,,MW029,43.713584,-79.475768
,,,,,MW030,43.71387,-79.505919
,,,,,MW031,43.713092,-79.515599
,,,,,MW032,43.66963,-79.498027
,,,,,MW033,43.358912,-80.043033
,,,,,MW034,43.357422,-80.052572
,,,,,MW035,43.349551,-80.098407
,,,,,MW036,43.321018,-80.049313
,,,,,MW037,43.702158,-79.543737
,,,,,MW038,43.701032,-79.549473
,,,,,MW039,43.701432,-79.56251
,,,,,MW040,43.690086,-79.572325
,,,,,MW041,43.675131,-79.571575
,,,,,MW042,43.664067,-79.577284
,,,,,MW043,43.32296,-80.038276
,,,,,MW044,43.330042,-79.995566
,,,,,MW045,43.335538,-79.962974
,,,,,MW046,43.343046,-79.959704
,,,,,MW047,43.519441,-79.750471
,,,,,MW048,43.530493,-79.738194
,,,,,MW049,43.534939,-79.732912
,,,,,MW050,43.535065,-79.721652
,,,,,MW051,43.669676,-79.422881
,,,,,MW052,43.680726,-79.411251
,,,,,MW053,43.691138,-79.427943
,,,,,MW054,43.67876,-79.431977
,,,,,MW055,43.674579,-79.446438
,,,,,MW056,43.671068,-79.452408
,,,,,MW057,43.67024,-79.462135
,,,,,MW058,43.671812,-79.474258
,,,,,MW059,43.670454,-79.482484
,,,,,MW060,43.646988,-79.583587
,,,,,MW061,43.654607,-79.607519
,,,,,MW062,43.651476,-79.617876
,,,,,MW063,43.63776,-79.635241
,,,,,MW064,43.628807,-79.652009
,,,,,MW065,43.626304,-79.673743
,,,,,MW066,43.618104,-79.701542
,,,,,MW067,43.613475,-79.705867
,,,,,MW068,43.595802,-79.719547
,,,,,MW069,43.553597,-79.699608
,,,,,MW070,43.571026,-79.733337
,,,,,MW071,43.564655,-79.720469
,,,,,MW072,43.5789,-79.713398
,,,,,MW073,43.554564,-79.756834
,,,,,MW074,43.568721,-79.651832
,,,,,MW075,43.573691,-79.63648
,,,,,MW076,43.579335,-79.630017
,,,,,MW077,43.589966,-79.6183
,,,,,MW078,43.591194,-79.608405
,,,,,MW079,43.601609,-79.583684
You are not signed into your Earth Point account.  Only the first five rows are converted.,,,,,MW080,43.633829,-79.553119
