Morphospecies_Code,Order,Superfamily,Family,Subfamily,Genus,Morphospecies
MS_01,Coleoptera,Chrysomeloidea ,Cerambycidae,Lepturinae ,Typocerus,long horned beetle (Typocerus velutinus)
MS_02,Coleoptera,Elateroidea ,Cantharidae,Cantharinae,Rhagonycha,orange beetle (Rhagoycha fulva)
MS_03,Hymenoptera,Apoidea,Apidae,Apinae ,Bombus,medium bombus hairy abdomin with rust patch (Bombus sp.)
MS_04,Hymenoptera,Apoidea,Apidae,Apinae ,Bombus,medium bumble bee hairy abdomin (Bombus sp.)
MS_05,Hymenoptera,Apoidea,Apidae,Apinae ,Bombus,medium bumble bee hairy black abdomin (Bombus sp.)
MS_06,Hymenoptera,Apoidea,Apidae,Apinae ,Apis,Apis mellifera (Large)
MS_07,Hymenoptera,Apoidea,Apidae,Unknown,Unknown,fuzzy yellow bee (medium) (Anthophorinae spp.)
MS_08,Hymenoptera,Apoidea,Apidae,Xylocopinae,Unknown,large bomus sp hairless abdomin (Xylocopinae sp.)
MS_09,Hymenoptera,Apoidea,Apidae,Xylocopinae,Unknown,medium bumble bee hairless abdomin (Xylocopinae sp.)
MS_10,Hymenoptera,Apoidea,Colletidae,Hylaeinae,Hylaeus,small black sweat bee (yellow face) (Hylaeus spp.)
MS_11,Hymenoptera,Apoidea,Colletidae,Unknown,Unknown,(small) mining bee/leafcutter? (Colletes spp.)
MS_12,Hymenoptera,Apoidea,Colletidae,Unknown,Unknown,mining bee? (Colletes spp.)
MS_13,Hymenoptera,Apoidea,Colletidae,Unknown,Unknown,small brown sweat bee (Colletes spp.)
MS_14,Hymenoptera,Apoidea,Halictidae,Unknown,Unknown,(small) black sweat bee (Halictidae spp.)
MS_15,Hymenoptera,Apoidea,Halictidae,Unknown,Unknown,(small) black sweat bee (no yellow) (Halictidae spp.)
MS_16,Hymenoptera,Apoidea,Halictidae,Unknown,Unknown,(small) sweat bee (Halictidae spp.)
MS_17,Hymenoptera,Apoidea,Halictidae,Unknown,Unknown,(small) torontounoficialallgreen (Halictidae spp.)
MS_18,Hymenoptera,Apoidea,Halictidae,Unknown,Unknown,mid black sweat bee yellow adominal intersegments (Halictidae spp.)
MS_19,Hymenoptera,Apoidea,Halictidae,Unknown,Unknown,small black sweat bee (bigger than yellow face) (Halictidae spp.)
MS_20,Hymenoptera,Apoidea,Halictidae,Unknown,Unknown,small black sweat bee? (Halictidae spp.)
MS_21,Hymenoptera,Apoidea,Megachilidae,Unknown,Unknown,(medium) leafcutter (Megachilidae spp.)
MS_22,Hymenoptera,Apoidea,Megachilidae,Unknown,Unknown,leaf cutter (no beard) (Megachilidae sp.)
MS_23,Hymenoptera,Apoidea,Megachilidae,Unknown,Unknown,leaf cutter w beard (Megachilidae sp.)
MS_24,Hymenoptera,Apoidea,Megachilidae,Unknown,Unknown,leafcutter bee large abdomin (Megachilidae sp.)
MS_25,Hymenoptera,Apoidea,Megachilidae,Unknown,Unknown,leafcutter bee pointy abdomin (Megachilidae sp.)
MS_26,Hymenoptera,Apoidea,Megachilidae,Unknown,Unknown,leafcutter bee yellow beard (Megachilidae sp.)
MS_27,Hymenoptera,Apoidea,Megachilidae,Unknown,Unknown,leafcutter black with yellow intersegments (Megachilidae spp.)
MS_28,Hymenoptera,Apoidea,Megachilidae,Unknown,Unknown,"leafcutter w beard, large abdomin and grey (Megachilidae sp.)"
MS_29,Hymenoptera,Apoidea,Megachilidae,Unknown,Unknown,leafcutter with beard wide (Megachilidae sp.)
MS_30,Hymenoptera,Apoidea,Megachilidae,Unknown,Unknown,leafcutter? (Megachilidae sp.)
MS_31,Hymenoptera,Apoidea,Unknown,Unknown,Unknown,leaf cutter? (very fuzzy) (Megachilidea spp. or Anthophorinae spp.)
MS_32,Hymenoptera,Apoidea,Unknown,Unknown,Unknown,medium bee (Apoidea spp.)
MS_33,Hymenoptera,Apoidea,Unknown,Unknown,Unknown,very fuzzy grey leafcutter bee (Megachilidae sp. or Athophorinae spp.)
MS_34,Hymenoptera,Vespoidea ,Vespidae,Unknown,Unknown,mud dabber wasp (Eumeninae spp.) -  presently treated as a subfamily of Vespidae
MS_35,Hymenoptera,Vespoidea ,Vespidae,Unknown,Unknown,paper wasp (yellow jacket?) (Vespidae spp.)
MS_36,Hymenoptera,Unknown,Unknown,Unknown,Unknown,small bee 
MS_37,Hymenoptera,Unknown,Unknown,Unknown,Unknown,tiny bee
MS_38,Lepidoptera,Papilionoidea,Nymphalidae,Danainae,Danaus,Monarch butterfly (Danaus plexippus) (Large) (Lepidoptera spp.)
MS_39,Lepidoptera,Papilionoidea ,Hesperiidae,Hesperiinae,Thymelicus,european skipper (Thymelicus lineola)  (Hesperiidae spp.)
MS_40,Lepidoptera,Pterophoroidea,Pterophoridae,Pterophorinae,Geina,brown plume moth (Geina periscelidactylus)
MS_41,Lepidoptera,Unknown,Unknown,Unknown,Unknown,lobed moth (Lepidoptera spp.)
MS_42,Lepidoptera,Unknown,Unknown,Unknown,Unknown,small arrow shaped brown moth (Lepidoptera spp.)
